Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City,First_Team_Goals,Second_Team_Goals,Tournament_Stage
france, Mexico,4.0,1.0,NO,L. Laurent,19,Home Win,1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,unknown,Uruguay,"L. Laurent  19'; Langiller  40'; Maschinot  43', 87'",Carreño  70',Group Stage
france, Mexico,4.0,1.0,NO,Langiller,40,Home Win,1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,unknown,Uruguay,"L. Laurent  19'; Langiller  40'; Maschinot  43', 87'",Carreño  70',Group Stage
france, Mexico,4.0,1.0,NO,Maschinot,43,Home Win,1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,unknown,Uruguay,"L. Laurent  19'; Langiller  40'; Maschinot  43', 87'",Carreño  70',Group Stage
france, Mexico,4.0,1.0,NO,Carreño,70,Home Win,1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,unknown,Uruguay,"L. Laurent  19'; Langiller  40'; Maschinot  43', 87'",Carreño  70',Group Stage
argentina, France,1.0,0.0,NO,Monti,81,Home Win,1930-07-15,16:00:00,Estadio Parque Central,Montevideo,234090.0,Almeida Rêgo,Brazil,Monti  81',0,Group Stage
chile, Mexico,3.0,0.0,NO,Vidal,3,Home Win,1930-07-16,14:45:00,Estadio Parque Central,Montevideo,92490.0,Henri Christophe,Belgium,"Vidal  3', 65'; M. Rosas  52' (o.g.); o.g.",0,Group Stage
chile, Mexico,3.0,0.0,NO,M. Rosas,52,Home Win,1930-07-16,14:45:00,Estadio Parque Central,Montevideo,92490.0,Henri Christophe,Belgium,"Vidal  3', 65'; M. Rosas  52' (o.g.); o.g.",0,Group Stage
chile, France,1.0,0.0,NO,Subiabre,67,Home Win,1930-07-19,12:50:00,Estadio Centenario,Montevideo,20000.0,unknown,Uruguay,Subiabre  67',0,Group Stage
argentina, Mexico,6.0,3.0,NO,Stábile,8,Home Win,1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia,"Stábile  8', 17', 80'; Zumelzú  12', 55'; Varallo  53'","M. Rosas  42' (pen.), 65'; pen.  75'; Gayón",Group Stage
argentina, Mexico,6.0,3.0,NO,Zumelzú,12,Home Win,1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia,"Stábile  8', 17', 80'; Zumelzú  12', 55'; Varallo  53'","M. Rosas  42' (pen.), 65'; pen.  75'; Gayón",Group Stage
argentina, Mexico,6.0,3.0,NO,Varallo,53,Home Win,1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia,"Stábile  8', 17', 80'; Zumelzú  12', 55'; Varallo  53'","M. Rosas  42' (pen.), 65'; pen.  75'; Gayón",Group Stage
argentina, Mexico,6.0,3.0,NO,M. Rosas,42,Home Win,1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia,"Stábile  8', 17', 80'; Zumelzú  12', 55'; Varallo  53'","M. Rosas  42' (pen.), 65'; pen.  75'; Gayón",Group Stage
argentina, Mexico,6.0,3.0,NO,Roberto Gayón,75,Home Win,1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia,"Stábile  8', 17', 80'; Zumelzú  12', 55'; Varallo  53'","M. Rosas  42' (pen.), 65'; pen.  75'; Gayón",Group Stage
argentina, Chile,3.0,1.0,NO,Stábile,12,Home Win,1930-07-22,14:45:00,Estadio Centenario,Montevideo,414590.0,John Langenus,Belgium,"Stábile  12', 13'; M. Evaristo  51'",Subiabre  15',Group Stage
argentina, Chile,3.0,1.0,NO,M. Evaristo,51,Home Win,1930-07-22,14:45:00,Estadio Centenario,Montevideo,414590.0,John Langenus,Belgium,"Stábile  12', 13'; M. Evaristo  51'",Subiabre  15',Group Stage
argentina, Chile,3.0,1.0,NO,Subiabre,15,Home Win,1930-07-22,14:45:00,Estadio Centenario,Montevideo,414590.0,John Langenus,Belgium,"Stábile  12', 13'; M. Evaristo  51'",Subiabre  15',Group Stage
yugoslavia, Brazil,2.0,1.0,NO,Tirnanić,21,Home Win,1930-07-14,12:45:00,Estadio Parque Central,Unknown,240590.0,Aníbal Tejada,Uruguay,Tirnanić  21'; Bek  30',Preguinho  62',Group Stage
yugoslavia, Brazil,2.0,1.0,NO,Bek,30,Home Win,1930-07-14,12:45:00,Estadio Parque Central,Unknown,240590.0,Aníbal Tejada,Uruguay,Tirnanić  21'; Bek  30',Preguinho  62',Group Stage
yugoslavia, Brazil,2.0,1.0,NO,Preguinho,62,Home Win,1930-07-14,12:45:00,Estadio Parque Central,Unknown,240590.0,Aníbal Tejada,Uruguay,Tirnanić  21'; Bek  30',Preguinho  62',Group Stage
yugoslavia, Bolivia,4.0,0.0,NO,Bek,60,Home Win,1930-07-17,12:45:00,Estadio Parque Central,Unknown,183060.0,Francisco Mateucci,Uruguay,"Bek  60', 67'; Marjanović  65'; Vujadinović  85'",0,Group Stage
yugoslavia, Bolivia,4.0,0.0,NO,Marjanović,65,Home Win,1930-07-17,12:45:00,Estadio Parque Central,Unknown,183060.0,Francisco Mateucci,Uruguay,"Bek  60', 67'; Marjanović  65'; Vujadinović  85'",0,Group Stage
yugoslavia, Bolivia,4.0,0.0,NO,Vujadinović,85,Home Win,1930-07-17,12:45:00,Estadio Parque Central,Unknown,183060.0,Francisco Mateucci,Uruguay,"Bek  60', 67'; Marjanović  65'; Vujadinović  85'",0,Group Stage
brazil, Bolivia,4.0,0.0,NO,Moderato,37,Home Win,1930-07-20,13:00:00,Estadio Centenario,Unknown,254660.0,Thomas Balvay,France,"Moderato  37', 73'; Preguinho  57', 83'",0,Group Stage
brazil, Bolivia,4.0,0.0,NO,Preguinho,57,Home Win,1930-07-20,13:00:00,Estadio Centenario,Unknown,254660.0,Thomas Balvay,France,"Moderato  37', 73'; Preguinho  57', 83'",0,Group Stage
romania, Peru,3.0,1.0,NO,Deșu,1,Home Win,1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile,Deșu  1'; Stanciu  79'; Kovács  89',De Souza  75',Group Stage
romania, Peru,3.0,1.0,NO,Stanciu,79,Home Win,1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile,Deșu  1'; Stanciu  79'; Kovács  89',De Souza  75',Group Stage
romania, Peru,3.0,1.0,NO,Kovács,89,Home Win,1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile,Deșu  1'; Stanciu  79'; Kovács  89',De Souza  75',Group Stage
romania, Peru,3.0,1.0,NO,De Souza,75,Home Win,1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile,Deșu  1'; Stanciu  79'; Kovács  89',De Souza  75',Group Stage
uruguay, Peru,1.0,0.0,NO,Castro,65,Home Win,1930-07-18,14:30:00,Estadio Centenario,Unknown,577350.0,John Langenus,Belgium,Castro  65',0,Group Stage
uruguay, Romania,4.0,0.0,NO,Dorado,7,Home Win,1930-07-21,14:50:00,Estadio Centenario,Unknown,700220.0,Almeida Rêgo,Brazil,Dorado  7'; Scarone  26'; Anselmo  31'; Cea  35',0,Group Stage
