Home_Team,Score,Away_Team,Penalties,First_Team_Goals,Second_Team_Goals,Date,Time,Stadium,City,Attendance,Referee,Referee_City,Player_Name,Goal_Time,Home_Score,Away_Score,Outcome
france,4–1, Mexico,NO,"L. Laurent  19'; Langiller  40'; Maschinot  43', 87'",Carreño  70',1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,Uruguay,Unknown,L. Laurent,19,4.0,1.0,Home Win
france,4–1, Mexico,NO,"L. Laurent  19'; Langiller  40'; Maschinot  43', 87'",Carreño  70',1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,Uruguay,Unknown,Langiller,40,4.0,1.0,Home Win
france,4–1, Mexico,NO,"L. Laurent  19'; Langiller  40'; Maschinot  43', 87'",Carreño  70',1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,Uruguay,Unknown,Maschinot,43,4.0,1.0,Home Win
france,4–1, Mexico,NO,"L. Laurent  19'; Langiller  40'; Maschinot  43', 87'",Carreño  70',1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,Uruguay,Unknown,Carreño,70,4.0,1.0,Home Win
argentina,1–0, France,NO,Monti  81',0,1930-07-15,16:00:00,Estadio Parque Central,Montevideo,234090.0,Almeida Rêgo,Brazil,Monti,81,1.0,0.0,Home Win
chile,3–0, Mexico,NO,"Vidal  3', 65'; M. Rosas  52' (o.g.); o.g.",0,1930-07-16,14:45:00,Estadio Parque Central,Montevideo,92490.0,Henri Christophe,Belgium,Vidal,3,3.0,0.0,Home Win
chile,3–0, Mexico,NO,"Vidal  3', 65'; M. Rosas  52' (o.g.); o.g.",0,1930-07-16,14:45:00,Estadio Parque Central,Montevideo,92490.0,Henri Christophe,Belgium,M. Rosas,52,3.0,0.0,Home Win
chile,1–0, France,NO,Subiabre  67',0,1930-07-19,12:50:00,Estadio Centenario,Montevideo,20000.0,Uruguay,Unknown,Subiabre,67,1.0,0.0,Home Win
argentina,6–3, Mexico,NO,"Stábile  8', 17', 80'; Zumelzú  12', 55'; Varallo  53'","M. Rosas  42' (pen.), 65'; pen.  75'; Gayón",1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia,Stábile,8,6.0,3.0,Home Win
argentina,6–3, Mexico,NO,"Stábile  8', 17', 80'; Zumelzú  12', 55'; Varallo  53'","M. Rosas  42' (pen.), 65'; pen.  75'; Gayón",1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia,Zumelzú,12,6.0,3.0,Home Win
argentina,6–3, Mexico,NO,"Stábile  8', 17', 80'; Zumelzú  12', 55'; Varallo  53'","M. Rosas  42' (pen.), 65'; pen.  75'; Gayón",1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia,Varallo,53,6.0,3.0,Home Win
argentina,6–3, Mexico,NO,"Stábile  8', 17', 80'; Zumelzú  12', 55'; Varallo  53'","M. Rosas  42' (pen.), 65'; pen.  75'; Gayón",1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia,M. Rosas,42,6.0,3.0,Home Win
argentina,6–3, Mexico,NO,"Stábile  8', 17', 80'; Zumelzú  12', 55'; Varallo  53'","M. Rosas  42' (pen.), 65'; pen.  75'; Gayón",1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia,pen.,75,6.0,3.0,Home Win
argentina,3–1, Chile,NO,"Stábile  12', 13'; M. Evaristo  51'",Subiabre  15',1930-07-22,14:45:00,Estadio Centenario,Montevideo,414590.0,John Langenus,Belgium,Stábile,12,3.0,1.0,Home Win
argentina,3–1, Chile,NO,"Stábile  12', 13'; M. Evaristo  51'",Subiabre  15',1930-07-22,14:45:00,Estadio Centenario,Montevideo,414590.0,John Langenus,Belgium,M. Evaristo,51,3.0,1.0,Home Win
argentina,3–1, Chile,NO,"Stábile  12', 13'; M. Evaristo  51'",Subiabre  15',1930-07-22,14:45:00,Estadio Centenario,Montevideo,414590.0,John Langenus,Belgium,Subiabre,15,3.0,1.0,Home Win
yugoslavia,2–1, Brazil,NO,Tirnanić  21'; Bek  30',Preguinho  62',1930-07-14,12:45:00,Estadio Parque Central,Unknown,240590.0,Aníbal Tejada,Uruguay,Tirnanić,21,2.0,1.0,Home Win
yugoslavia,2–1, Brazil,NO,Tirnanić  21'; Bek  30',Preguinho  62',1930-07-14,12:45:00,Estadio Parque Central,Unknown,240590.0,Aníbal Tejada,Uruguay,Bek,30,2.0,1.0,Home Win
yugoslavia,2–1, Brazil,NO,Tirnanić  21'; Bek  30',Preguinho  62',1930-07-14,12:45:00,Estadio Parque Central,Unknown,240590.0,Aníbal Tejada,Uruguay,Preguinho,62,2.0,1.0,Home Win
yugoslavia,4–0, Bolivia,NO,"Bek  60', 67'; Marjanović  65'; Vujadinović  85'",0,1930-07-17,12:45:00,Estadio Parque Central,Unknown,183060.0,Francisco Mateucci,Uruguay,Bek,60,4.0,0.0,Home Win
yugoslavia,4–0, Bolivia,NO,"Bek  60', 67'; Marjanović  65'; Vujadinović  85'",0,1930-07-17,12:45:00,Estadio Parque Central,Unknown,183060.0,Francisco Mateucci,Uruguay,Marjanović,65,4.0,0.0,Home Win
yugoslavia,4–0, Bolivia,NO,"Bek  60', 67'; Marjanović  65'; Vujadinović  85'",0,1930-07-17,12:45:00,Estadio Parque Central,Unknown,183060.0,Francisco Mateucci,Uruguay,Vujadinović,85,4.0,0.0,Home Win
brazil,4–0, Bolivia,NO,"Moderato  37', 73'; Preguinho  57', 83'",0,1930-07-20,13:00:00,Estadio Centenario,Unknown,254660.0,Thomas Balvay,France,Moderato,37,4.0,0.0,Home Win
brazil,4–0, Bolivia,NO,"Moderato  37', 73'; Preguinho  57', 83'",0,1930-07-20,13:00:00,Estadio Centenario,Unknown,254660.0,Thomas Balvay,France,Preguinho,57,4.0,0.0,Home Win
romania,3–1, Peru,NO,Deșu  1'; Stanciu  79'; Kovács  89',De Souza  75',1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile,Deșu,1,3.0,1.0,Home Win
romania,3–1, Peru,NO,Deșu  1'; Stanciu  79'; Kovács  89',De Souza  75',1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile,Stanciu,79,3.0,1.0,Home Win
romania,3–1, Peru,NO,Deșu  1'; Stanciu  79'; Kovács  89',De Souza  75',1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile,Kovács,89,3.0,1.0,Home Win
romania,3–1, Peru,NO,Deșu  1'; Stanciu  79'; Kovács  89',De Souza  75',1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile,De Souza,75,3.0,1.0,Home Win
uruguay,1–0, Peru,NO,Castro  65',0,1930-07-18,14:30:00,Estadio Centenario,Unknown,577350.0,John Langenus,Belgium,Castro,65,1.0,0.0,Home Win
uruguay,4–0, Romania,NO,Dorado  7'; Scarone  26'; Anselmo  31'; Cea  35',0,1930-07-21,14:50:00,Estadio Centenario,Unknown,700220.0,Almeida Rêgo,Brazil,Dorado,7,4.0,0.0,Home Win
uruguay,4–0, Romania,NO,Dorado  7'; Scarone  26'; Anselmo  31'; Cea  35',0,1930-07-21,14:50:00,Estadio Centenario,Unknown,700220.0,Almeida Rêgo,Brazil,Scarone,26,4.0,0.0,Home Win
uruguay,4–0, Romania,NO,Dorado  7'; Scarone  26'; Anselmo  31'; Cea  35',0,1930-07-21,14:50:00,Estadio Centenario,Unknown,700220.0,Almeida Rêgo,Brazil,Anselmo,31,4.0,0.0,Home Win
uruguay,4–0, Romania,NO,Dorado  7'; Scarone  26'; Anselmo  31'; Cea  35',0,1930-07-21,14:50:00,Estadio Centenario,Unknown,700220.0,Almeida Rêgo,Brazil,Cea,35,4.0,0.0,Home Win
united states,3–0, Belgium,NO,McGhee  23'; Florie  45'; Patenaude  69',0,1930-07-13,15:00:00,Estadio Parque Central,Unknown,183460.0,José Macías,Argentina,McGhee,23,3.0,0.0,Home Win
united states,3–0, Belgium,NO,McGhee  23'; Florie  45'; Patenaude  69',0,1930-07-13,15:00:00,Estadio Parque Central,Unknown,183460.0,José Macías,Argentina,Florie,45,3.0,0.0,Home Win
united states,3–0, Belgium,NO,McGhee  23'; Florie  45'; Patenaude  69',0,1930-07-13,15:00:00,Estadio Parque Central,Unknown,183460.0,José Macías,Argentina,Patenaude,69,3.0,0.0,Home Win
united states,3–0, Paraguay,NO,"Patenaude  10', 15', 50'",0,1930-07-17,14:45:00,Estadio Parque Central,Unknown,183060.0,José Macías,Argentina,Patenaude,10,3.0,0.0,Home Win
paraguay,1–0, Belgium,NO,Vargas Peña  40',0,1930-07-20,15:00:00,Estadio Centenario,Unknown,120000.0,Ricardo Vallarino,Uruguay,Vargas Peña,40,1.0,0.0,Home Win
argentina,6–1, United States,NO,"Monti  20'; Scopelli  56'; Stábile  69', 87'; Peucelle  80', 85'",Brown  89',1930-07-26,14:45:00,Estadio Centenario,Montevideo,728860.0,John Langenus,Belgium,Monti,20,6.0,1.0,Home Win
argentina,6–1, United States,NO,"Monti  20'; Scopelli  56'; Stábile  69', 87'; Peucelle  80', 85'",Brown  89',1930-07-26,14:45:00,Estadio Centenario,Montevideo,728860.0,John Langenus,Belgium,Scopelli,56,6.0,1.0,Home Win
argentina,6–1, United States,NO,"Monti  20'; Scopelli  56'; Stábile  69', 87'; Peucelle  80', 85'",Brown  89',1930-07-26,14:45:00,Estadio Centenario,Montevideo,728860.0,John Langenus,Belgium,Stábile,69,6.0,1.0,Home Win
argentina,6–1, United States,NO,"Monti  20'; Scopelli  56'; Stábile  69', 87'; Peucelle  80', 85'",Brown  89',1930-07-26,14:45:00,Estadio Centenario,Montevideo,728860.0,John Langenus,Belgium,Peucelle,80,6.0,1.0,Home Win
argentina,6–1, United States,NO,"Monti  20'; Scopelli  56'; Stábile  69', 87'; Peucelle  80', 85'",Brown  89',1930-07-26,14:45:00,Estadio Centenario,Montevideo,728860.0,John Langenus,Belgium,Brown,89,6.0,1.0,Home Win
uruguay,6–1, Yugoslavia,NO,"Cea  18', 67', 72'; Anselmo  20', 31'; Iriarte  61'",Vujadinović  4',1930-07-27,14:45:00,Estadio Centenario,Unknown,798670.0,Gilberto de Almeida Rêgo,Brazil,Cea,18,6.0,1.0,Home Win
uruguay,6–1, Yugoslavia,NO,"Cea  18', 67', 72'; Anselmo  20', 31'; Iriarte  61'",Vujadinović  4',1930-07-27,14:45:00,Estadio Centenario,Unknown,798670.0,Gilberto de Almeida Rêgo,Brazil,Anselmo,20,6.0,1.0,Home Win
uruguay,6–1, Yugoslavia,NO,"Cea  18', 67', 72'; Anselmo  20', 31'; Iriarte  61'",Vujadinović  4',1930-07-27,14:45:00,Estadio Centenario,Unknown,798670.0,Gilberto de Almeida Rêgo,Brazil,Iriarte,61,6.0,1.0,Home Win
uruguay,6–1, Yugoslavia,NO,"Cea  18', 67', 72'; Anselmo  20', 31'; Iriarte  61'",Vujadinović  4',1930-07-27,14:45:00,Estadio Centenario,Unknown,798670.0,Gilberto de Almeida Rêgo,Brazil,Vujadinović,4,6.0,1.0,Home Win
uruguay,4–2, Argentina,NO,Dorado  12'; Cea  57'; Iriarte  68'; Castro  89',Peucelle  20'; Stábile  37',1930-07-30,12:45:00,Estadio Centenario,Montevideo,683460.0,John Langenus,Belgium,Dorado,12,4.0,2.0,Home Win
uruguay,4–2, Argentina,NO,Dorado  12'; Cea  57'; Iriarte  68'; Castro  89',Peucelle  20'; Stábile  37',1930-07-30,12:45:00,Estadio Centenario,Montevideo,683460.0,John Langenus,Belgium,Cea,57,4.0,2.0,Home Win
uruguay,4–2, Argentina,NO,Dorado  12'; Cea  57'; Iriarte  68'; Castro  89',Peucelle  20'; Stábile  37',1930-07-30,12:45:00,Estadio Centenario,Montevideo,683460.0,John Langenus,Belgium,Iriarte,68,4.0,2.0,Home Win
uruguay,4–2, Argentina,NO,Dorado  12'; Cea  57'; Iriarte  68'; Castro  89',Peucelle  20'; Stábile  37',1930-07-30,12:45:00,Estadio Centenario,Montevideo,683460.0,John Langenus,Belgium,Castro,89,4.0,2.0,Home Win
uruguay,4–2, Argentina,NO,Dorado  12'; Cea  57'; Iriarte  68'; Castro  89',Peucelle  20'; Stábile  37',1930-07-30,12:45:00,Estadio Centenario,Montevideo,683460.0,John Langenus,Belgium,Peucelle,20,4.0,2.0,Home Win
uruguay,4–2, Argentina,NO,Dorado  12'; Cea  57'; Iriarte  68'; Castro  89',Peucelle  20'; Stábile  37',1930-07-30,12:45:00,Estadio Centenario,Montevideo,683460.0,John Langenus,Belgium,Stábile,37,4.0,2.0,Home Win
spain,3–1, Brazil,NO,"Iraragorri  18' (pen.), 25'; pen.  29'; Lángara",Leônidas  55',1934-05-27,16:00:00,Stadio Luigi Ferraris,Genoa,210000.0,Alfred Birlem,Germany,Iraragorri,18,3.0,1.0,Home Win
spain,3–1, Brazil,NO,"Iraragorri  18' (pen.), 25'; pen.  29'; Lángara",Leônidas  55',1934-05-27,16:00:00,Stadio Luigi Ferraris,Genoa,210000.0,Alfred Birlem,Germany,pen.,29,3.0,1.0,Home Win
spain,3–1, Brazil,NO,"Iraragorri  18' (pen.), 25'; pen.  29'; Lángara",Leônidas  55',1934-05-27,16:00:00,Stadio Luigi Ferraris,Genoa,210000.0,Alfred Birlem,Germany,Leônidas,55,3.0,1.0,Home Win
hungary,4–2, Egypt,NO,"Teleki  11'; Toldi  31', 61'; Vincze  53'","Fawzi  35', 39'",1934-05-27,16:00:00,Stadio Giorgio Ascarelli,Naples,90000.0,Rinaldo Barlassina,Italy,Teleki,11,4.0,2.0,Home Win
hungary,4–2, Egypt,NO,"Teleki  11'; Toldi  31', 61'; Vincze  53'","Fawzi  35', 39'",1934-05-27,16:00:00,Stadio Giorgio Ascarelli,Naples,90000.0,Rinaldo Barlassina,Italy,Toldi,31,4.0,2.0,Home Win
