Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City
france, Mexico,4.0,1.0,NO,L. Laurent,19,Home Win,1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,unknown,Uruguay
france, Mexico,4.0,1.0,NO,Langiller,40,Home Win,1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,unknown,Uruguay
france, Mexico,4.0,1.0,NO,Maschinot,43,Home Win,1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,unknown,Uruguay
france, Mexico,4.0,1.0,NO,Carreño,70,Home Win,1930-07-13,15:00:00,Estadio Pocitos,Montevideo,44440.0,unknown,Uruguay
argentina, France,1.0,0.0,NO,Monti,81,Home Win,1930-07-15,16:00:00,Estadio Parque Central,Montevideo,234090.0,Almeida Rêgo,Brazil
chile, Mexico,3.0,0.0,NO,Vidal,3,Home Win,1930-07-16,14:45:00,Estadio Parque Central,Montevideo,92490.0,Henri Christophe,Belgium
chile, Mexico,3.0,0.0,NO,M. Rosas,52,Home Win,1930-07-16,14:45:00,Estadio Parque Central,Montevideo,92490.0,Henri Christophe,Belgium
chile, France,1.0,0.0,NO,Subiabre,67,Home Win,1930-07-19,12:50:00,Estadio Centenario,Montevideo,20000.0,unknown,Uruguay
argentina, Mexico,6.0,3.0,NO,Stábile,8,Home Win,1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia
argentina, Mexico,6.0,3.0,NO,Zumelzú,12,Home Win,1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia
argentina, Mexico,6.0,3.0,NO,Varallo,53,Home Win,1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia
argentina, Mexico,6.0,3.0,NO,M. Rosas,42,Home Win,1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia
argentina, Mexico,6.0,3.0,NO,pen.,75,Home Win,1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia
argentina, Chile,3.0,1.0,NO,Stábile,12,Home Win,1930-07-22,14:45:00,Estadio Centenario,Montevideo,414590.0,John Langenus,Belgium
argentina, Chile,3.0,1.0,NO,M. Evaristo,51,Home Win,1930-07-22,14:45:00,Estadio Centenario,Montevideo,414590.0,John Langenus,Belgium
argentina, Chile,3.0,1.0,NO,Subiabre,15,Home Win,1930-07-22,14:45:00,Estadio Centenario,Montevideo,414590.0,John Langenus,Belgium
yugoslavia, Brazil,2.0,1.0,NO,Tirnanić,21,Home Win,1930-07-14,12:45:00,Estadio Parque Central,Unknown,240590.0,Aníbal Tejada,Uruguay
yugoslavia, Brazil,2.0,1.0,NO,Bek,30,Home Win,1930-07-14,12:45:00,Estadio Parque Central,Unknown,240590.0,Aníbal Tejada,Uruguay
yugoslavia, Brazil,2.0,1.0,NO,Preguinho,62,Home Win,1930-07-14,12:45:00,Estadio Parque Central,Unknown,240590.0,Aníbal Tejada,Uruguay
yugoslavia, Bolivia,4.0,0.0,NO,Bek,60,Home Win,1930-07-17,12:45:00,Estadio Parque Central,Unknown,183060.0,Francisco Mateucci,Uruguay
yugoslavia, Bolivia,4.0,0.0,NO,Marjanović,65,Home Win,1930-07-17,12:45:00,Estadio Parque Central,Unknown,183060.0,Francisco Mateucci,Uruguay
yugoslavia, Bolivia,4.0,0.0,NO,Vujadinović,85,Home Win,1930-07-17,12:45:00,Estadio Parque Central,Unknown,183060.0,Francisco Mateucci,Uruguay
brazil, Bolivia,4.0,0.0,NO,Moderato,37,Home Win,1930-07-20,13:00:00,Estadio Centenario,Unknown,254660.0,Thomas Balvay,France
brazil, Bolivia,4.0,0.0,NO,Preguinho,57,Home Win,1930-07-20,13:00:00,Estadio Centenario,Unknown,254660.0,Thomas Balvay,France
romania, Peru,3.0,1.0,NO,Deșu,1,Home Win,1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile
romania, Peru,3.0,1.0,NO,Stanciu,79,Home Win,1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile
romania, Peru,3.0,1.0,NO,Kovács,89,Home Win,1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile
romania, Peru,3.0,1.0,NO,De Souza,75,Home Win,1930-07-14,14:50:00,Estadio Pocitos,Unknown,25490.0,Alberto Warnken,Chile
uruguay, Peru,1.0,0.0,NO,Castro,65,Home Win,1930-07-18,14:30:00,Estadio Centenario,Unknown,577350.0,John Langenus,Belgium
uruguay, Romania,4.0,0.0,NO,Dorado,7,Home Win,1930-07-21,14:50:00,Estadio Centenario,Unknown,700220.0,Almeida Rêgo,Brazil
uruguay, Romania,4.0,0.0,NO,Scarone,26,Home Win,1930-07-21,14:50:00,Estadio Centenario,Unknown,700220.0,Almeida Rêgo,Brazil
uruguay, Romania,4.0,0.0,NO,Anselmo,31,Home Win,1930-07-21,14:50:00,Estadio Centenario,Unknown,700220.0,Almeida Rêgo,Brazil
uruguay, Romania,4.0,0.0,NO,Cea,35,Home Win,1930-07-21,14:50:00,Estadio Centenario,Unknown,700220.0,Almeida Rêgo,Brazil
united states, Belgium,3.0,0.0,NO,McGhee,23,Home Win,1930-07-13,15:00:00,Estadio Parque Central,Unknown,183460.0,José Macías,Argentina
united states, Belgium,3.0,0.0,NO,Florie,45,Home Win,1930-07-13,15:00:00,Estadio Parque Central,Unknown,183460.0,José Macías,Argentina
united states, Belgium,3.0,0.0,NO,Patenaude,69,Home Win,1930-07-13,15:00:00,Estadio Parque Central,Unknown,183460.0,José Macías,Argentina
united states, Paraguay,3.0,0.0,NO,Patenaude,10,Home Win,1930-07-17,14:45:00,Estadio Parque Central,Unknown,183060.0,José Macías,Argentina
paraguay, Belgium,1.0,0.0,NO,Vargas Peña,40,Home Win,1930-07-20,15:00:00,Estadio Centenario,Unknown,120000.0,Ricardo Vallarino,Uruguay
argentina, United States,6.0,1.0,NO,Monti,20,Home Win,1930-07-26,14:45:00,Estadio Centenario,Montevideo,728860.0,John Langenus,Belgium
argentina, United States,6.0,1.0,NO,Scopelli,56,Home Win,1930-07-26,14:45:00,Estadio Centenario,Montevideo,728860.0,John Langenus,Belgium
argentina, United States,6.0,1.0,NO,Stábile,69,Home Win,1930-07-26,14:45:00,Estadio Centenario,Montevideo,728860.0,John Langenus,Belgium
argentina, United States,6.0,1.0,NO,Peucelle,80,Home Win,1930-07-26,14:45:00,Estadio Centenario,Montevideo,728860.0,John Langenus,Belgium
argentina, United States,6.0,1.0,NO,Brown,89,Home Win,1930-07-26,14:45:00,Estadio Centenario,Montevideo,728860.0,John Langenus,Belgium
uruguay, Yugoslavia,6.0,1.0,NO,Cea,18,Home Win,1930-07-27,14:45:00,Estadio Centenario,Unknown,798670.0,Gilberto de Almeida Rêgo,Brazil
