Home_Team,Away_Team,Home_Score,Away_Score,Penalties,Player_Name,Goal_Time,Outcome,Date,Time,Stadium,City,Attendance,Referee,Referee_City,First_Team_Goals,Second_Team_Goals
argentina, Mexico,6.0,3.0,NO,Roberto Gayón,75,Home Win,1930-07-19,15:00:00,Estadio Centenario,Montevideo,421000.0,Ulises Saucedo,Bolivia,"Stábile  8', 17', 80'; Zumelzú  12', 55'; Varallo  53'","M. Rosas  42' (pen.), 65'; pen.  75'; Gayón"
spain, Brazil,3.0,1.0,NO,pen.,29,Home Win,1934-05-27,16:00:00,Stadio Luigi Ferraris,Genoa,210000.0,Alfred Birlem,Germany,"Iraragorri  18' (pen.), 25'; pen.  29'; Lángara",Leônidas  55'
brazil, Poland,6.0,5.0,NO,Ernst Wilimowski,53,Home Win,1938-06-05,17:30:00,Stade de la Meinau,Strasbourg,134520.0,Ivan Eklind,Sweden,"Leônidas  18', 93', 104'; Romeu  25'; Perácio  44', 71'","Scherfke  23' (pen.); pen.  53', 59', 89', 118'; Wilimowski"
italy, Belgium,4.0,1.0,NO,Amleto Frignani,48,Home Win,1954-06-20,17:00:00,Cornaredo Stadium,Lugano,240000.0,unknown,Austria,Pandolfini  41' (pen.); pen.  48'; Galli  58'; Frignani  78'; Lorenzi,Anoul  81'
hungary, Brazil,4.0,2.0,NO,Julinho,65,Home Win,1954-06-27,17:00:00,Wankdorf Stadium,Bern,400000.0,Arthur Ellis,England,"Hidegkuti  4'; Kocsis  7', 88'; Lantos  60' (pen.); pen.",Djalma Santos  18' (pen.); pen.  65'; Julinho
west germany, Austria,6.0,1.0,NO,probst,61,Home Win,1954-06-30,18:00:00,St. Jakob Stadium,Basel,580000.0,unknown,Italy,"Schäfer  31'; Morlock  47'; F. Walter  54' (pen.), 64' (pen.); pen.  61', 89'; pen. ; O. Walter",Probst  51'
austria, Uruguay,3.0,1.0,NO,cruz,59,Home Win,1954-07-03,17:00:00,Hardturm Stadium,Zürich,320000.0,unknown,Switzerland,Stojaspal  16' (pen.); pen.  59' (o.g.); Cruz  89'; o.g. ; Ocwirk,Hohberg  22'
west germany, Czechoslovakia,2.0,2.0,NO,zikan,42,Draw,1958-06-11,19:00:00,Olympiastadion,Helsingborg,250000.0,Arthur Edward Ellis,England,Schäfer  60'; Rahn  71',Dvořák  24' (pen.); pen.  42'; Zikán
argentina, Northern Ireland,3.0,1.0,NO,menendez,56,Home Win,1958-06-11,19:00:00,Örjans Vall,Halmstad,141740.0,unknown,Sweden,Corbatta  37' (pen.); pen.  56'; Menéndez  60'; Avio,McParland  4'
france, Paraguay,7.0,3.0,NO,romero,50,Home Win,1958-06-08,19:00:00,Idrottsparken,Norrköping,165180.0,Juan Gardeazábal Garay,Spain,"Fontaine  24', 30', 67'; Piantoni  52'; Wisnieski  61'; Kopa  70'; Vincent  83'","Amarilla  20', 44' (pen.); pen.  50'; Romero"
france, West Germany,6.0,3.0,NO,douis,50,Home Win,1958-06-28,17:00:00,Ullevi,Gothenburg,324830.0,Juan Regis Brozzi,Argentina,"Fontaine  16', 36', 78', 89'; Kopa  27' (pen.); pen.  50'; Douis",Cieslarczyk  18'; Rahn  52'; Schäfer  84'
yugoslavia, Uruguay,3.0,1.0,NO,galic,29,Home Win,1962-06-02,15:00:00,Estadio Carlos Dittborn,Arica,88290.0,Karol Galba,Czechoslovakia,Skoblar  25' (pen.); pen.  29'; Galić  49'; Jerković,Cabrera  19'
west germany, Chile,2.0,0.0,NO,seeler,82,Home Win,1962-06-06,15:00:00,Estadio Nacional,Santiago,672240.0,Robert Holley Davidson,Scotland,Szymaniak  21' (pen.); pen.  82'; Seeler,0
