Year,Name,Position,Date of Birth,Caps,Club
1930,Ángel Bossio,1GK,(1905-05-05)5 May 1905 (aged 25),16,Talleres (BA)
1930,Juan Botasso,1GK,(1908-10-23)23 October 1908 (aged 21),2,Argentino (Q)
1930,Roberto Cherro,4FW,(1907-02-23)23 February 1907 (aged 23),10,Boca Juniors
1930,Alberto Chividini,2DF,(1907-02-23)23 February 1907 (aged 23),2,Central Norte
1930,Attilio Demaría,4FW,(1909-03-19)19 March 1909 (aged 21),0,Estudiantil Porteño
1930,José Della Torre,2DF,(1906-03-23)23 March 1906 (aged 24),0,Racing
1930,Juan Evaristo,3MF,(1902-06-20)20 June 1902 (aged 28),22,Sportivo Palermo
1930,Mario Evaristo,4FW,(1908-12-10)10 December 1908 (aged 21),6,Boca Juniors
1930,Manuel Ferreira,4FW,(1905-10-22)22 October 1905 (aged 24),18,Estudiantes (LP)
1930,Luis Monti,3MF,(1901-05-15)15 May 1901 (aged 29),11,San Lorenzo
1930,Ramón Muttis,2DF,(1899-03-12)12 March 1899 (aged 31),10,Boca Juniors
1930,Rodolfo Orlandini,3MF,(1905-01-01)1 January 1905 (aged 25),8,Sp. Buenos Aires
1930,Fernando Paternoster,2DF,(1903-05-24)24 May 1903 (aged 27),13,Racing
1930,Natalio Perinetti,4FW,(1900-12-28)28 December 1900 (aged 29),15,Racing
1930,Carlos Peucelle,4FW,(1908-09-13)13 September 1908 (aged 21),6,Sp. Buenos Aires
1930,Edmundo Piaggio,2DF,(1905-10-03)3 October 1905 (aged 24),0,Lanús
1930,Alejandro Scopelli,4FW,(1908-05-12)12 May 1908 (aged 22),4,Estudiantes (LP)
1930,Carlos Spadaro,4FW,(1902-02-05)5 February 1902 (aged 28),2,Lanús
1930,Guillermo Stábile,4FW,(1905-01-17)17 January 1905 (aged 25),0,Huracán
1930,Arico Suárez,3MF,(1908-06-05)5 June 1908 (aged 22),0,Boca Juniors
1930,Francisco Varallo,4FW,(1910-02-05)5 February 1910 (aged 20),1,Gimnasia y Esgrima LP
1930,Adolfo Zumelzú,3MF,(1902-01-05)5 January 1902 (aged 28),13,Sportivo Palermo
1930,Juan Aguilera,4FW,(1903-10-23)23 October 1903 (aged 26),0,Audax Italiano
1930,Guillermo Arellano,4FW,(1908-08-21)21 August 1908 (aged 21),0,Colo-Colo
1930,Ernesto Chaparro,2DF,(1901-01-04)4 January 1901 (aged 29),3,Colo-Colo
1930,Arturo Coddou,3MF,(1905-01-14)14 January 1905 (aged 25),0,Lord Cochrane
1930,Roberto Cortés,1GK,(1905-02-02)2 February 1905 (aged 25),3,Colo-Colo
1930,Humberto Elgueta,3MF,(1904-09-10)10 September 1904 (aged 25),9,Deportivo Naval
1930,César Espinoza,1GK,(1908-05-31)31 May 1908 (aged 22),0,CD Santiago
1930,Víctor Morales,2DF,(1905-05-10)10 May 1905 (aged 25),8,Colo-Colo
1930,Horacio Muñoz,2DF,(1896-05-18)18 May 1896 (aged 34),9,Arturo Fernández Vial
1930,Tomás Ojeda,4FW,(1910-04-20)20 April 1910 (aged 20),0,Boca Juniors Antofagasta
1930,Ulises Poirier,2DF,(1897-02-02)2 February 1897 (aged 33),14,La Cruz
1930,Guillermo Riveros,2DF,(1902-02-10)10 February 1902 (aged 28),2,La Cruz
1930,Guillermo Saavedra,3MF,(1903-11-05)5 November 1903 (aged 26),6,Colo-Colo
1930,Carlos Schneeberger,4FW,(1902-06-21)21 June 1902 (aged 28),3,Colo-Colo
1930,Guillermo Subiabre,4FW,(1903-02-25)25 February 1903 (aged 27),3,Colo-Colo
1930,Arturo Torres,3MF,(1906-10-20)20 October 1906 (aged 23),3,Colo-Colo
1930,Casimiro Torres,3MF,(1905-03-04)4 March 1905 (aged 25),0,Everton
1930,Carlos Vidal,4FW,(1902-02-24)24 February 1902 (aged 28),0,Federico Schwager
1930,Eberardo Villalobos,4FW,(1908-04-01)1 April 1908 (aged 22),0,Rangers
1930,Numa Andoire,2DF,(1908-03-19)19 March 1908 (aged 22),0,Antibes
1930,Marcel Capelle,2DF,(1904-12-11)11 December 1904 (aged 25),4,RC Paris
1930,Augustin Chantrel,3MF,(1906-11-11)11 November 1906 (aged 23),8,CASG Paris
1930,Edmond Delfour,3MF,(1907-11-01)1 November 1907 (aged 22),6,RC Paris
1930,Célestin Delmer,3MF,(1907-02-15)15 February 1907 (aged 23),2,Amiens
1930,Marcel Langiller,4FW,(1908-06-02)2 June 1908 (aged 22),8,Excelsior Roubaix
1930,Jean Laurent,2DF,(1906-12-30)30 December 1906 (aged 23),3,Sochaux
1930,Lucien Laurent,4FW,(1907-12-10)10 December 1907 (aged 22),2,Sochaux
1930,Ernest Libérati,4FW,(1908-03-22)22 March 1908 (aged 22),3,Amiens
1930,André Maschinot,4FW,(1903-06-28)28 June 1903 (aged 27),3,Sochaux
1930,Étienne Mattler,2DF,(1905-12-25)25 December 1905 (aged 24),1,Sochaux
1930,Marcel Pinel,4FW,(1908-07-08)8 July 1908 (aged 22),3,Red Star
1930,André Tassin,1GK,(1902-02-23)23 February 1902 (aged 28),0,RC Paris
1930,Alex Thépot,1GK,(1906-07-30)30 July 1906 (aged 23),12,Red Star
1930,Émile Veinante,4FW,(1907-06-12)12 June 1907 (aged 23),3,RC Paris
1930,Alexandre Villaplane,3MF,(1904-12-24)24 December 1904 (aged 25),22,RC Paris
1930,Efraín Amézcua,3MF,(1907-08-03)3 August 1907 (aged 22),0,Atlante
1930,Óscar Bonfiglio,1GK,(1905-10-05)5 October 1905 (aged 24),2,Marte
1930,Juan Carreño,4FW,(1907-08-14)14 August 1907 (aged 22),2,Atlante
1930,Jesús Castro,4FW,(1908-10-16)16 October 1908 (aged 21),0,Deportivo Mexico
1930,Rafael Garza Gutiérrez,2DF,(1896-12-13)13 December 1896 (aged 33),5,América
1930,Francisco Garza Gutiérrez,2DF,(1904-03-14)14 March 1904 (aged 26),0,América
